lnY,lnK,lnL,trend,dummy_70_to_73,dummy_76_to_77,dummy_80_to_81,dummy_82_to_85,dummy_88,dummy_93_to_95,dummy_98,dummy_01_to_02,dummy_09_to_10,dummy_11_to_12,dummy_13,intercept
26.919704706148583,15.47772278253752,18.553956989242074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.991862159908184,15.595414021694124,18.55763737136935,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.21820891028958,15.708075685217944,18.557095693477724,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.405070632603703,15.81937258376235,18.56694834810985,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.320410271865853,15.902431186418102,18.53321555359846,2.23606797749979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.33487784567089,15.974494297468102,18.518739207762163,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.374650178058506,16.041852847827514,18.535403457150824,2.6457513110645907,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.516953281553004,16.10507717716457,18.54928581341078,2.8284271247461903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.812007078566296,16.169213674986917,18.558758943540912,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.82489456725864,16.231843712600487,18.573321309101622,3.1622776601683795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.81858977183323,16.28689485816282,18.581255544856237,3.3166247903554,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.88756601858633,16.337770954849518,18.582328751477675,3.4641016151377544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.798453835902663,16.38327126756175,18.591509679507865,3.605551275463989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.88061724018927,16.42480725782933,18.603786461128852,3.7416573867739413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
